ID,rho_event,beta_event,rho_event_raw,beta_event_raw,rho_event_nc,beta_event_nc,n_pairs,flag_imputed,flag_clipped
Exp_3619,0.789629,0.210371,0.789629,0.210371,0.633718,0.366282,299,0,0
Exp_3634,0.805029,0.194971,0.805029,0.194971,0.036734,0.963266,299,0,0
Exp_3652,0.464052,0.535948,0.464052,0.535948,0.117330,0.882670,156,0,0
Exp_3678,0.689767,0.310233,0.689767,0.310233,0.300441,0.699559,220,0,0
Exp_3680,0.329125,0.670875,0.329125,0.670875,0.096047,0.903953,156,0,0
Exp_3709,0.620229,0.379771,0.620229,0.379771,0.455718,0.544282,181,0,0
Exp_3724,0.499909,0.500091,0.499909,0.500091,0.919370,0.080630,181,0,0
Exp_3727,0.652818,0.347182,0.652818,0.347182,0.434797,0.565203,34,0,0
Exp_3760,0.797734,0.202266,0.797734,0.202266,0.975373,0.024627,259,0,0
Exp_3761,0.216926,0.783074,0.216926,0.783074,0.025006,0.974994,156,0,0
Exp_3808,0.251071,0.748929,0.251071,0.748929,0.173036,0.826964,154,0,0
Exp_3812,0.425683,0.574317,0.425683,0.574317,0.111491,0.888509,219,0,0
Exp_3816,0.629629,0.370371,0.629629,0.370371,0.326210,0.673790,295,0,0
Exp_3819,0.485677,0.514323,0.485677,0.514323,0.388281,0.611719,259,0,0
Exp_3824,0.167541,0.832459,0.167541,0.832459,0.218166,0.781834,156,0,0
Exp_3835,0.573841,0.426159,0.573841,0.426159,0.727888,0.272112,179,0,0
Exp_3842,0.727870,0.272130,0.727870,0.272130,0.136833,0.863167,156,0,0
Exp_3846,0.568344,0.431656,1.029825,-0.029825,0.388762,0.611238,34,1,0
Exp_3848,0.355183,0.644817,0.355183,0.644817,0.445002,0.554998,34,0,0
Exp_3850,0.709605,0.290395,0.709605,0.290395,0.690197,0.309803,17,0,0
Exp_3854,0.431954,0.568046,0.431954,0.568046,0.389665,0.610335,147,0,0
Exp_3866,0.596005,0.403995,0.596005,0.403995,0.359638,0.640362,299,0,0
Exp_3870,0.516916,0.483084,0.516916,0.483084,0.390954,0.609046,181,0,0
Exp_3875,0.642839,0.357161,0.642839,0.357161,0.603918,0.396082,285,0,0
Exp_3913,0.694441,0.305559,0.694441,0.305559,0.001000,0.999000,156,0,0
Exp_3921,0.503010,0.496990,0.503010,0.496990,0.566242,0.433758,179,0,0
Exp_3933,0.537127,0.462873,0.537127,0.462873,0.407565,0.592435,299,0,0
Exp_3944,0.693670,0.306330,0.693670,0.306330,0.540733,0.459267,295,0,0
Exp_3946,0.925564,0.074436,0.925564,0.074436,1.000000,0.000000,34,0,0
Exp_3958,0.831237,0.168763,0.831237,0.168763,0.254382,0.745618,297,0,0
Exp_4002,0.470591,0.529409,0.470591,0.529409,0.415132,0.584868,251,0,0
Exp_4036,0.625962,0.374038,0.625962,0.374038,0.554319,0.445681,174,0,0
Exp_4043,0.502394,0.497606,0.502394,0.497606,0.553604,0.446396,131,0,0
