ID,Participation_Experiment,Recruitment_organisation,Municipality,Region,Survey1_answered,Survey2_answered,Survey3_answered,Participation_Phase,Control_Price_Phase1,Control_Price_Phase2,Group_Phase1,Group_Phase2,Participation_status_Phase1,Participation_status_Phase2
Ipsos_961,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_962,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_963,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_964,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_965,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_966,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_967,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_968,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_969,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_970,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_971,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_972,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_973,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_974,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_975,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_976,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_977,No,Market research company,Bergen,Bergen,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_978,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_979,No,Market research company,Trondheim,Trondheim,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_980,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_981,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_982,No,Market research company,Bærum,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_983,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_984,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_985,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_986,No,Market research company,Lillestrøm,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_987,No,Market research company,Bodø,Bodø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_988,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_989,No,Market research company,Asker,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_990,No,Market research company,Tromsø,Tromsø,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_991,No,Market research company,Oslo,Oslo,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
Ipsos_992,No,Market research company,Stavanger,Stavanger,"NA","NA",Yes,Phase_2,"NA","NA","NA","NA","NA","NA"
